-2, 2, -4, 2, 6, 2, -2, 2, 2,
-3, -2, 1, -2, 5, 4, 5, 4, 0,
1, -3, -2, -3, 4, 5, 2, 5, 1,
4, 5, 2, 5, 1, -3, -2, -3, 1,
6, 5, 2, 5, -4, 3, -4, 3, 0,
-2, -2, 0, -2, 0, 0, 2, 0, 4,
0, 1, 3, 1, -1, -3, -1, -3, 5,
6, -4, 4, 2, -2, -4, -4, 2, 8,
6, 2, 4, -4, -2, 2, -4, -4, 8,
-4, 6, -2, -4, -2, -2, -4, 6, 12,
0, 2, -4, -4, 4, 2, 2, -2, 6,
0, -4, -4, 2, 4, -2, 2, 2, 6,
-4, -4, -2, 6, -2, 6, -4, -2, 12,
-2, 3, -2, 3, 1, 2, 3, 2, 0,
2, -4, -2, 2, -4, 4, 2, -4, 10,
1, 1, -2, -3, -3, -3, 2, 3, 8,
0, -2, 2, -2, 0, -2, 2, -2, 6,
1, -2, -2, -2, 1, -2, -2, -2, 10,
